#%guid=00005fb3-3ec4-44f3-5331-000549005afb
#%affymetrix-algorithm-param-apt-engine=ProbesetSummarizeEngine
#%affymetrix-algorithm-param-apt-program-name=apt-probeset-summarize.exe
#%affymetrix-algorithm-param-apt-command-line=c:\apt-test-data\apt-testing\regression\releases\2009-06-04_apt-head\win32\apt-probeset-summarize.exe -a mas5-bg,quant-norm,pm-mm,sea,pca-select -o ./output_2009-06-04_apt-head_win32/anal_options_15 -d ../../../../regression-data/lib/HG-U133_Plus_2/HG-U133_Plus_2.cdf ../../../../regression-data/cel/HG-U133_Plus_2/4221B_a01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_b01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221B_c01.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_a02.CEL ../../../../regression-data/cel/HG-U133_Plus_2/4221H_b02.CEL
#%affymetrix-algorithm-param-apt-exec-guid=00001705-03a7-4fa1-6988-0008020076f6
#%affymetrix-algorithm-param-apt-analysis-guid=00002204-6606-48eb-4ce9-006e98002583
#%affymetrix-algorithm-param-apt-time-str=Wed Aug 26 14:31:18 2009
#%affymetrix-algorithm-param-apt-version=NON-OFFICIAL-RELEASE $Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-cvs-id=$Id: apt-probeset-summarize.cpp,v 1.169 2009/05/28 06:15:27 awilli Exp $
#%affymetrix-algorithm-param-apt-free-mem=2086421299
#%affymetrix-algorithm-param-apt-opt-do-ps-names=true
#%affymetrix-algorithm-param-apt-opt-chip-type=HG-U133_Plus_2
#%affymetrix-algorithm-param-apt-opt-probe-count=1354896
#%affymetrix-algorithm-param-apt-opt-force=false
#%affymetrix-algorithm-param-apt-opt-precision=5
#%affymetrix-algorithm-param-apt-opt-out-dir=./output_2009-06-04_apt-head_win32/anal_options_15
#%affymetrix-algorithm-param-apt-opt-cc-expr-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cc-md-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-xda-chp-out-dir=
#%affymetrix-algorithm-param-apt-opt-cdf-file=HG-U133_Plus_2.cdf
#%affymetrix-algorithm-param-apt-opt-spf-file=
#%affymetrix-algorithm-param-apt-opt-pgf-file=
#%affymetrix-algorithm-param-apt-opt-clf-file=
#%affymetrix-algorithm-param-apt-opt-bgp-file=
#%affymetrix-algorithm-param-apt-opt-ps-list-file=
#%affymetrix-algorithm-param-apt-opt-meta-ps-file=
#%affymetrix-algorithm-param-apt-opt-qc-groups-file=
#%affymetrix-algorithm-param-apt-opt-kill-list=
#%affymetrix-algorithm-param-apt-opt-temp-dir=./output_2009-06-04_apt-head_win32/anal_options_15\temp
#%affymetrix-algorithm-param-apt-opt-diskCache=50
#%affymetrix-algorithm-param-apt-opt-cel-count=5
#%affymetrix-algorithm-param-apt-opt-cel-1=4221B_a01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-2=4221B_b01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-3=4221B_c01.CEL
#%affymetrix-algorithm-param-apt-opt-cel-4=4221H_a02.CEL
#%affymetrix-algorithm-param-apt-opt-cel-5=4221H_b02.CEL
#%affymetrix-algorithm-param-apt-opt-analysis-name=mas5-bg.quant-norm.pm-mm.sea.pca-select
#%affymetrix-algorithm-param-apt-opt-set-analysis-name=
#%affymetrix-algorithm-param-apt-opt-analysis-spec=mas5-bg,quant-norm.sketch=-1.bioc=false.lowprecision=false.usepm=false.target=0.doavg=false.subsetmd5=d41d8cd98f00b204e9800998ecf8427e,pm-mm,sea.optmethod=1.atten=0.005.InitAugmentation=0.1.InitDefaultFeatureResponse=1.0.InitDefaultTargetResponse=1.0.SeaOptConvergence=0.000001.SeaOptIteration=2000.PlierGmCutoff=0.15.PlierDifferentialFeaturePenalty=0.001.PlierDifferentialTargetPenalty=0.000001.PlierUseMMLikelihood=true.PlierUseInputModel=false.PlierFitFeatureResponse=false.PlierOptConvergence=0.000001.PlierOptIteration=3000.PlierOptDropMax=3.0.PlierOptLambdaLimit=0.01.PlierOptOptimizationMethod=0.PlierOptBalanceMethod=0.FixPrecomputed=true.NumericalTolerance=0.1.SafetyZero=0.000001.FixFeatureEffect=false,pca-select.log=true.debug=false.corr=false.info-criterion=aic.hard-min=4.min-percent=0.2.qnorm-only=true
#%affymetrix-algorithm-param-apt-opt-feat-effect-file=
#%affymetrix-algorithm-param-apt-opt-target-sketch-file=
#%affymetrix-algorithm-param-apt-opt-do-residuals=false
#%affymetrix-algorithm-param-apt-opt-do-feature-effects=false
#%affymetrix-algorithm-param-apt-opt-write-sketch=false
#%affymetrix-algorithm-param-quantification-name=sea
#%affymetrix-algorithm-param-quantification-version=2.0
#%affymetrix-algorithm-param-quantification-scale=linear
#%affymetrix-algorithm-param-quantification-type=signal
probeset_id	4221B_a01.CEL	4221B_b01.CEL	4221B_c01.CEL	4221H_a02.CEL	4221H_b02.CEL
206453_s_at	1360.64107	1472.06114	1453.34750	348.39571	291.30393
206454_s_at	8.00958	39.29209	32.59506	57.06964	67.12174
206455_s_at	29.05972	20.21562	12.80988	15.55809	21.21113
206456_at	296.90149	235.16420	238.15757	1.91050	3.95048
206457_s_at	2.09812	1.52173	2.51329	9.16448	8.89917
206458_s_at	19.83808	17.63890	11.18640	4.78824	5.77085
206459_s_at	8.29572	5.96309	13.93609	6.85404	9.14172
206460_at	67.78502	60.79944	60.49462	1.21460	8.44626
206461_x_at	743.61975	795.88015	807.73205	192.83292	251.53216
206462_s_at	160.90335	156.98968	156.10656	12.72223	0.69095
206463_s_at	5.69230	8.92506	9.87581	8.98864	19.95198
206464_at	1.56374	2.23573	1.54095	1.90060	9.52238
206465_at	173.33078	187.11758	160.90536	0.62345	3.42922
206466_at	26.20617	30.29392	30.78975	8.57971	6.67537
206467_x_at	20.03598	32.56859	25.89702	15.13769	15.65732
206468_s_at	55.96220	36.51633	42.68876	11.85318	16.82882
206469_x_at	49.43245	41.98355	46.10839	37.30079	41.81889
206470_at	33.32555	23.95755	29.26816	0.17581	0.36817
206471_s_at	47.58340	20.68521	39.04544	6.78693	5.98127
206472_s_at	9.95594	12.98475	10.12912	7.82727	5.97787
206473_at	22.93928	32.63086	23.15263	11.13295	32.31179
206474_at	99.26716	82.71194	92.06422	33.39424	14.40949
206475_x_at	2.85199	2.36991	3.37903	3.06728	4.26024
206476_s_at	4.21213	6.27449	6.58649	11.20438	16.79361
206477_s_at	53.20407	42.73022	30.13809	5.27457	6.40140
206478_at	10.40924	12.98926	6.31858	1.62095	0.71916
206479_at	2.56231	2.60820	1.39966	3.79240	6.66384
206480_at	6.72503	5.50733	7.21699	19.46811	12.97529
206481_s_at	494.79952	454.14439	518.08681	110.00933	86.49926
206482_at	0.58113	2.43149	0.83455	0.35451	0.25849
206483_at	41.44824	26.44068	25.95421	0.96919	6.61051
206484_s_at	10.32860	7.75120	10.53935	11.17839	9.85226
206485_at	10.65172	3.83930	4.41078	20.50778	30.28006
206486_at	0.64524	0.12884	1.83481	8.98736	1.14449
206487_at	8.80079	7.95275	3.52761	7.85771	2.48449
206488_s_at	0.56651	2.55917	0.74447	993.31739	1082.38491
206489_s_at	58.24197	44.22876	43.91143	0.91872	2.17538
206490_at	72.93561	40.62635	46.46548	10.67727	15.64047
206491_s_at	368.53294	411.99887	366.01476	163.62794	161.66637
206492_at	66.14934	47.91268	61.72250	23.56750	29.65481
206493_at	14.05494	18.46267	14.31812	7.34556	18.67953
206494_s_at	5.23602	5.61217	9.75557	8.41005	3.76870
206495_s_at	41.58059	37.13508	24.98113	9.44527	6.60759
206496_at	35.04892	16.29002	18.58489	32.83760	33.54432
206497_at	5.09435	2.18168	0.21118	4.88968	4.76322
206498_at	19.95635	16.01282	27.30110	0.43980	16.58086
206499_s_at	2.14155	7.79183	10.18190	18.49694	22.86432
206500_s_at	9.56065	3.35032	1.39934	2.62517	2.60993
206501_x_at	35.52077	27.80624	41.11337	28.83210	51.37562
206502_s_at	50.63657	47.24321	41.88868	0.71449	2.06859
206503_x_at	5.85390	6.96892	4.76230	9.83264	7.86649
206504_at	4.17671	8.29581	6.92742	3.77851	1.57389
206505_at	0.16553	1.98161	1.43330	80.44385	47.70750
206506_s_at	20.27103	23.68465	15.23343	9.12031	11.75332
206507_at	32.51938	10.11898	11.56291	10.05797	11.81412
206508_at	24.14666	8.24678	11.69221	22.86085	16.19483
206509_at	11.85794	20.67050	16.47259	22.12884	23.41310
206510_at	7.92654	15.78794	31.46395	24.46450	12.40314
206511_s_at	1.43596	2.94258	3.93416	6.67857	2.12210
206512_at	14.63217	10.63486	11.74166	15.03277	9.58796
206513_at	10.84284	16.45127	18.51073	9.54918	7.98603
244021_at	10.54981	15.16635	12.70545	5.11747	11.86277
244022_at	1.60408	0.83494	4.10044	1.58552	0.96620
244023_at	9.50320	7.16448	15.26877	4.18268	2.26279
244024_at	8.04728	12.52346	4.76125	7.36884	3.05301
244025_at	1.59717	1.34938	1.68251	9.03699	10.72582
244026_at	33.81025	23.33157	23.05840	5.71239	7.42182
244027_at	7.73961	0.88326	1.64083	15.21777	16.92925
244028_at	38.79334	38.33076	40.97427	30.41379	17.04338
244029_at	27.98619	12.76365	16.91269	5.78038	10.11274
244030_at	26.97656	22.31129	18.94285	55.65149	58.35263
244031_at	70.55169	4.04823	8.97776	1.58689	0.76003
244032_at	21.95873	13.95830	6.39426	18.03150	13.90568
244033_at	11.70056	2.44617	1.47097	5.20794	14.61018
244034_at	10.15115	11.88500	8.01868	9.67678	10.93075
244035_at	13.32326	11.39761	1.31506	1.62394	0.56461
244036_at	5.56990	7.92639	5.53296	6.18126	13.11992
244037_at	46.13880	39.58219	33.40889	1.46772	1.33344
244038_at	24.38233	22.58213	16.45549	28.44137	27.93263
244039_x_at	5.77555	1.81401	5.44615	24.63517	1.93664
244040_at	21.48138	13.97927	21.15933	9.00129	3.59673
244041_at	3.16428	1.25127	0.74449	2.14978	5.69733
244042_x_at	6.41079	5.16057	1.98714	2.42282	3.29383
244043_at	20.87753	22.65166	18.47219	30.51306	19.08528
244044_at	32.78952	0.96682	20.01950	28.18078	25.58811
244045_at	9.11199	4.27501	6.39471	0.38541	0.67724
244046_at	40.15643	33.67980	26.20131	4.33900	5.24163
244047_at	12.44137	10.68368	9.31822	19.95647	4.61860
244048_x_at	0.12249	1.89270	0.60557	1.04174	8.78599
244049_at	12.19710	13.10474	6.98134	3.71235	11.09606
