V1	V2
1	-0.0561695023396786	-0.0471770290295372
2	-0.0560754648490606	-0.0482801954384636
3	-0.0560635810273223	-0.0478809059878803
4	-0.0552570993599300	-0.0731922841024326
5	-0.0556696536545987	-0.0606585435613726
6	-0.0555637208455704	-0.0617151921066137
7	-0.0561376072761949	-0.0421249665555265
8	-0.0559584016823173	-0.0370500930399057
9	-0.0559364785743912	-0.0472308748876261
10	-0.0557248194292306	-0.0650445192914095
11	-0.0559546997017837	-0.0487489841474804
12	-0.0557456215602673	-0.0620054195473792
13	-0.0559705362418002	-0.0479154679644757
14	-0.0558236146423069	-0.0599817784874933
15	-0.0559404584330905	-0.045662834385273
16	-0.0560883885361103	-0.0500521268142938
17	-0.0555394642318205	-0.064628892765938
18	-0.0562650000126915	-0.038617033505355
19	-0.0555564617536009	-0.0732698151977329
20	-0.0556564112574224	-0.0683692521463074
21	-0.0559500173592146	-0.0499815157306681
22	-0.0557459413260987	-0.0621980668997325
23	-0.0559083766457493	-0.0591050273951892
24	-0.0556608939583767	-0.0713103785977632
25	-0.0559398767049388	-0.0561371747122827
26	-0.0558650661868649	-0.060344607321423
27	-0.0555676158706195	-0.0726754868843183
28	-0.0558773177612211	-0.0559253018413332
29	-0.0557926484891952	-0.0621427044866543
30	-0.0558762250912988	-0.0556649672767582
31	-0.055816466264024	-0.0542143019566752
32	-0.0558904579514706	-0.0561602937861379
33	-0.0559306721033691	-0.0546345559027819
34	-0.0561158227516018	-0.047226740825181
35	-0.0561243512873528	-0.0461339979531363
36	-0.05614590955824	-0.0463624402804077
37	-0.0560357957303936	-0.0540096998199022
38	-0.0562359586620169	-0.0422807621101444
39	-0.056155563807179	-0.0451118395016478
40	-0.0558595330652424	-0.054071865166127
41	-0.0560567301852536	-0.0489533949464254
42	-0.0558318006342296	-0.0425941454033076
43	-0.0563417644748762	-0.0296450707329937
44	-0.0559135071948593	-0.0550987128268921
45	-0.0557925362069393	-0.063592054591752
46	-0.055807715099538	-0.0560573628405881
47	-0.0558017196132478	-0.0604141920832858
48	-0.0559264318172532	-0.0548184057070768
49	-0.0559967701800814	-0.0512522828592203
50	-0.0558268535957984	-0.0651403594382347
51	-0.0556706093376277	-0.0700590964798374
52	-0.0557345471637532	-0.0666647667891235
53	-0.055653683169921	-0.066911726567357
54	-0.0557539041702083	-0.0626449350673247
55	-0.0554835404399475	-0.0695644196658186
56	-0.056000797755029	-0.0508816935900562
57	-0.0559350420362067	-0.0553685915717523
