data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1590	1005.81	675.857	735.333	818.429	1219	730.476	1115.33	937.19	1042.29	678.048	796.476	924.667	1189.05	1024.38	523.524	703.905	1134.81	984.381	856.238	812.381	921.19
1591	900	603.714	538.619	674.095	1063.43	739.381	877.476	743.619	1185.14	630.905	697.048	820.381	1034.43	945.048	603.714	504.81	946.881	851.667	468.143	673.286	842.952
1592	690.714	651.714	517.333	651.81	800.667	531.095	885.905	824.095	913.048	451.286	742.524	776.81	764.476	769.095	606.905	702.81	984.857	763.857	520.095	532.81	781.738
1593	529.524	484.143	590.143	441.095	480.048	565.333	517.857	473.19	438	705.31	655.905	405.619	485.048	386.381	519.143	566	477.286	553.952	441	575.238	546
1594	781.095	674.857	681.381	475.095	593.286	523.381	623.19	488.095	634.381	679.714	720.476	645.905	583.19	609.238	698.333	519.143	608.333	495.81	536.857	601.143	868.667
1595	525.905	736.048	663.857	436.095	447.714	545.857	587.571	534.762	680.238	539.333	533.429	511.19	504.333	454.286	592.238	521.429	504.238	549.762	586.762	667.619	650.714
1596	554.714	591.667	573.571	379	470.667	576	703.048	621.333	530.905	549.143	667.571	664.952	700.952	596.048	510.571	460.905	444.095	465.429	509.524	578.095	630.619
1597	595.19	575.762	489.238	479.19	534.571	507.571	532.952	489.952	619.667	611.381	448.81	711.524	535.857	456.476	452	456.333	453.381	468.476	504.857	458.619	628.143
1598	675.81	590.667	580.81	524.667	448.714	484.095	717.476	606.238	508.762	560.857	551.762	515.714	583.19	558.857	497.762	533.69	598.952	480.048	594.571	706.905	609.381
1599	569	487.095	392.476	445.143	457.286	462.19	557.857	607.095	529.905	456.667	397.667	554.667	556.952	541.19	277.143	424.571	561.238	457.048	416.667	565.667	528.333
1600	569	491.238	353.19	393.952	664	379.405	719.857	497.429	467.19	460.238	418.095	614.619	486	357.667	334.143	340.19	469.476	539.333	554.476	419	380.19
1601	598.095	474.095	463.333	390.571	487.714	312.095	566.19	609.905	523.524	399.667	471.095	687	506.095	525.905	434.952	548.048	634	373.048	462.333	532.81	536.714
1602	880	356.952	457.286	505.714	532.762	246.762	619.619	476.952	401.571	315.333	462.714	585.667	341.143	356.571	379.238	417.667	428.81	529.524	281.524	305.238	624.667
1603	479.762	269.762	362.524	310.19	427.762	345.762	617.286	595.81	483.762	376.286	423.476	484.095	351.857	303.429	418.952	340.19	438.238	367.905	317.762	492.81	521.143
1604	478.81	396.286	321.19	342.095	579.714	503.667	502.429	411.857	496.429	441.524	379.762	515.714	391.524	409.714	343.81	437.048	311.095	400.476	379.667	501.143	313.762
1605	449.048	408.524	361.571	316.857	495.476	401.952	404.143	417.333	444.19	428.143	349	409.238	375.81	278.857	291.524	442.667	292.429	349	342.524	305.238	289.476
1606	605.524	649.714	663.857	411.238	485.952	727.667	610.286	648.571	590.429	630.905	618.095	507.571	400.619	467.548	563.81	761.286	420.286	639.667	665.714	703	453.286
1607	934.857	1097.86	706.714	641.333	1110.14	924.405	896.476	718.381	837.571	852	996.238	758.476	618.571	724.381	1028.71	980.143	793.429	808.286	637.571	724.667	910.714
1608	770.048	917.714	627.143	513.857	789.81	632.476	939.286	592.952	745.714	641.524	848.81	702.381	631.714	624.524	631.143	1041.33	810.714	706.714	654.381	674.762	761.667
1609	812.333	879	629.143	551.857	728.571	787.619	688.857	562.762	692.524	771.476	845.524	602.952	563.048	591.81	695.048	867.429	710.524	630	668.333	736.762	940.952
1610	683.19	535.714	605.476	584	876.095	685.238	599.524	610.952	654.143	647.762	660.095	638.571	646.714	522.571	614.429	627.143	622.952	779.667	649.81	609.429	639.952
1611	637.381	591.667	476.81	575.762	536.524	663.762	579.286	556.333	517.238	598.952	645.048	684.143	526.238	520.381	501	717.476	618.571	739.619	705.905	506.762	524.667
1612	532.333	750.095	645.619	478.238	712.667	713.81	608.952	831.524	664.619	540.238	716.048	644.905	657	604.952	462.619	674.905	678.619	839.762	683.286	531.524	628.143
1613	169.952	189.476	144.143	124.667	201	175.667	185.238	156.333	208.048	121.238	149.095	205.381	215.095	243	200.619	236.286	197.905	209.857	159.905	136.381	209.571
1614	163.762	278.857	146.143	146.095	180.571	217.238	166.571	204.095	231.571	229.524	201.81	228.667	236.524	254.143	189.333	213.381	214.143	248.952	194.619	218.952	213.143
1615	182.238	183.333	283.524	167.762	181.476	252.952	221.429	183.238	150	224	151.095	211.429	206.19	217.381	246.333	208.905	182.143	166.095	254.024	207.333	128.952
1616	223.143	160.571	220.381	196.667	195.667	231.524	284.143	210.429	223.333	265	268.667	203.667	204.524	236.476	217.381	172.19	175.286	224.238	146.619	244.476	165
1617	215.095	348.905	281.381	294.333	325.857	350.857	335.762	283.381	241.952	271.333	279.143	270.905	321.381	268.762	314.619	317.762	270.667	338.714	217	348.476	313.762
1618	291.476	346.857	281.381	325.238	298.143	337.81	349.238	348.429	298.952	388	395.619	297.429	267.571	228.571	275.048	350.238	393.143	263.571	417.571	288.286	380.19
1619	222.238	289.095	323.238	296	247.762	298.095	326.762	228.571	251.143	319.714	302.619	284.238	290.524	227.524	371.762	381.619	314.524	280.286	233.524	309.286	250.714
1620	1373.19	1176.71	1579.43	1467.81	1308.9	1300.71	1552.71	1381.9	1153.05	1463.29	1131.19	1429.67	1173.19	1285.38	1382.76	1540.14	1159.55	1447.62	1237.81	1541.81	1410.36
1621	1832.24	1437.81	1758.57	1393.62	1304.14	1719.76	1997.48	1456.12	1428.43	1920.67	1519.33	1586.14	1458.14	1326.71	1888.57	1813.71	1416.48	1597.19	1310	2085.07	1564.86
1622	991.667	1037.1	998.048	827.476	933.81	888.762	983.714	889.81	993.952	856.286	979.762	1049.86	891	993.952	933.81	992.143	815	1244.52	855.333	873.238	858.095
1623	886.81	951.857	874.905	944.81	817.238	900.619	845.333	845.524	908.81	750.143	865.571	901.857	886.905	936.619	943.143	924.405	1087.98	929.286	772.19	989.619	951.69
1624	759.476	761.119	653.857	714	858.429	699.119	910.762	845.524	661.476	636.333	942.143	914.619	860.405	769.095	624.81	692.762	823.762	949.381	672.952	639.381	840.571
1625	983.81	705	697.571	776.619	970.524	680.476	915.476	987.81	963.333	761	859.238	918.286	758.476	845.333	738.381	756.857	901.381	872.905	761.119	736.762	648.429
1626	757.619	469.095	502.81	524.667	739.381	431.571	857.238	742.571	517.238	576	465.857	695.048	736.143	509.381	576.429	512.571	474.667	547.667	533.905	429.81	495.095
1627	354.095	418.476	465.524	380.476	586.571	334.048	588.667	578.667	429.667	413.81	465.857	526.571	441.143	516	424.405	450.762	505.095	501.143	405.333	354.095	416.333
1628	744.476	864	783.19	656.714	866.333	633.333	807.333	816.429	762.381	714.048	883.524	686.143	717.476	798.19	867.429	689.333	748.143	787.19	645.048	742.19	848.81
1629	854.571	986.857	1116.98	797.905	784.095	910.714	992	837.095	754.095	894.524	1035.1	927.667	783.048	699.238	977	1101.29	837.762	863.286	878.048	1126.81	935.095
1630	1123.62	1275.76	1138.43	1242.5	1116.98	1076.62	1358.31	1052	1016.95	1372.9	1093	1320.1	967.762	1193.76	1286.29	1410.36	1031.81	1167.76	1042	1231.62	1128.57
1631	1704.14	2429	2110.81	1746.81	1657.52	2304.29	1830.24	1277.71	1636.38	2150.19	2345.07	1966.19	1622.67	1418.33	2234.05	1555.48	1439.24	2322.33	2181.29	2193.55	2365.86
1632	1911.5	2501.86	1957.95	2167.43	2501.19	2266	2176.76	1821.9	2234.86	2096.24	2464.6	1992.14	2251.71	2125.81	2351.57	2197.33	1653.43	2465.29	2148.38	2039.57	2366.86
1633	4215.15	4961.07	4445.24	3572.69	4156.6	5174.98	4351.24	3796.12	4250.9	4653.88	4369.86	4545.24	3483.17	4313.57	4119.52	4393.74	4034.18	4725.36	4599.79	3640.38	3783.46
