x
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	36
36	37
37	39
38	40
39	41
40	42
41	43
42	44
43	45
44	46
45	47
46	48
47	49
48	50
49	51
50	52
51	53
52	54
53	55
54	56
55	57
56	58
57	59
58	60
59	62
60	63
61	64
62	65
63	66
64	67
65	68
66	69
67	70
68	71
69	72
70	73
71	74
72	75
73	78
74	79
75	80
76	81
77	82
78	83
79	84
80	85
81	86
82	87
83	89
84	103
85	106
86	107
87	108
88	109
89	110
90	115
91	116
92	117
93	118
94	119
95	120
96	121
97	123
98	124
99	125
100	126
101	127
102	128
103	131
104	147
105	148
106	151
107	152
108	153
109	161
110	162
111	173
112	177
113	178
114	179
115	180
116	199
117	209
118	217
119	218
120	219
121	220
122	225
123	226
124	267
125	268
126	276
127	277
128	306
129	313
130	314
131	315
132	317
133	318
134	319
135	320
136	321
