#%guid=0000008635-1147465503-0655288913-0260172332-1489521149 2
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963 2
#%exec_version=apt-1.4.0 $Id: exon.summary2.txt,v 1.1 2006-05-22 21:58:11 pklost Exp $ 2
#%create_date=Fri May 12 13:18:36 2006 2
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL  2
#%chip_type=HuEx-1_0-st-v2 2
#%lib_set_name=HuEx-1_0-st 2
#%lib_set_version=v2 2
############################################################ 2
probeset_id	huex_wta_lung_A2.CEL	huex_wta_cerebellum_A2.CEL	huex_wta_heart_A2.CEL	huex_wta_kidney_A2.CEL	huex_wta_liver_A2.CEL	huex_wta_muscle_A2.CEL	huex_wta_pancreas_A2.CEL	huex_wta_prostate_A2.CEL	huex_wta_spleen_A2.CEL	huex_wta_testes_A2.CEL	huex_wta_thyroid_A2.CEL	huex_wta_tissue_mix1_A2.CEL	huex_wta_tissue_mix2_A2.CEL	huex_wta_tissue_mix3_A2.CEL	huex_wta_tissue_mix4_A2.CEL
2590411	52	122	22	32	152	92	52	82	42	402	162	172	152	112	112
2609210	32	62	122	92	52	62	32	42	12	282	122	222	62	132	142
2616957	162	932	52	302	222	62	232	292	132	262	202	612	562	412	582
2391254	62	252	22	112	142	92	152	2	52	62	42	192	302	182	232
3499280	32	132	22	112	32	52	12	12	2	12	112	12	2	22	22
2807653	62	102	2	2	52	2	2	42	62	142	112	32	82	82	32
2532280	42	272	22	112	182	122	242	82	82	232	282	102	242	192	182
3842613	112	222	122	112	112	12	42	72	42	112	332	102	212	82	162
3871433	262	2252	242	252	702	262	772	302	432	442	512	782	1432	372	1062
3087946	42	92	42	2	52	12	62	32	12	52	12	92	62	102	2
3234450	32	72	2	12	2	2	32	2	22	12	22	32	42	22	2
3452435	62	232	92	572	34962	4322	2602	162	192	212	952	122	82	102	122
2580386	42	272	42	62	42	22	62	72	22	182	102	92	142	122	102
3949778	232	1072	92	172	482	1822	882	232	852	1412	2832	112	272	122	1722
2689727	72	502	12	102	192	42	92	62	12	72	122	162	102	102	122
2846401	202	602	92	142	352	342	432	382	92	432	472	402	472	462	252
2385421	92	212	2	82	52	62	22	12	32	102	72	112	162	142	82
2992747	32	82	12	62	92	12	52	22	32	92	42	92	82	72	92
3432063	52	672	142	392	492	272	182	112	172	472	332	472	452	312	512
2827457	112	1042	102	142	272	112	62	32	152	272	172	492	512	282	252
3781635	52	32	32	52	52	22	82	52	52	22	82	102	42	22	52
3541146	812	4102	1712	512	3712	3502	1832	452	3102	4802	3432	3822	2692	2022	2852
3694750	22	412	22	62	52	32	32	132	252	92	2	272	212	72	192
2391484	2212	2052	962	962	2202	2302	1792	2132	1972	3682	3782	2042	1662	1672	2422
2789573	32	152	22	62	12	32	42	22	22	92	42	22	32	42	42
3242460	12	212	2	42	32	32	2	12	2	162	2	102	152	22	72
2914721	32	22	2	12	72	52	192	52	62	32	42	142	32	2	92
4032627	12	22	12	2	42	12	2	2	2	2	22	12	2	12	82
3487540	102	22	62	32	202	152	62	2	72	242	172	202	232	32	82
2409674	72	472	32	52	172	2	82	52	12	52	72	172	152	132	122
3888153	502	4482	1392	1182	2182	1062	1142	252	1852	9232	2252	7092	4952	3272	3122
3373107	2	52	42	2	2	22	2	22	32	7562	72	3632	1562	1842	1022
2379846	32	12	2	22	12	12	32	22	2	2	2	2	42	2	2
2506973	62	572	12	92	52	12	52	42	32	152	22	272	192	142	232
3198423	32	1702	12	62	22	2	32	2	2	82	22	622	992	352	772
3525559	342	2782	782	1042	1782	952	892	432	1792	1992	1482	2292	1832	1292	1892
3511823	12	2	22	2	2	2	2	2	52	32	2	2	2	2	2
3442337	22	152	2	22	12	32	42	22	22	242	52	302	182	122	132
3413163	2	72	32	2	32	12	32	2	22	12	42	12	12	52	2
3037838	42	22	22	72	12	42	52	72	2	72	52	12	32	82	32
2844443	42	872	22	22	142	82	52	62	22	52	122	212	372	262	352
2336170	2672	6932	2292	5242	14252	11482	4332	2372	5022	7772	10082	6382	5242	4412	4752
3301701	52	132	22	62	62	12	22	12	2	2	52	72	92	12	32
2413227	2	42	2	12	22	12	2	12	2	2	32	12	2	22	2
3839239	2	372	112	22	212	502	52	62	72	72	382	162	62	52	132
3227647	52	2692	282	582	1392	1522	492	142	772	1092	1232	2012	1402	1042	1752
3839369	22	112	42	2	2	8672	2	262	22	32	672	52	42	82	62
3876257	52	4162	62	2	52	72	272	12	82	52	42	1462	2122	952	1612
3029170	82	72	62	112	52	52	82	52	172	222	62	82	162	92	52
3723703	142	552	142	82	322	132	212	102	342	442	92	382	522	382	482
2849826	42	112	52	2	2	22	12	92	32	152	12	132	102	52	82
3047225	42	362	42	2	112	12	92	2	12	132	232	102	152	72	42
2534215	192	902	32	102	202	122	242	72	312	382	412	492	582	372	722
2620456	3622	9102	3612	4932	8022	5972	8172	3562	5072	6522	7322	6272	7102	6112	7142
2830090	2	12	2	2	42	32	32	12	2	2	2	2	2	2	2
2575215	292	2502	442	772	962	1142	732	432	762	5732	1142	3312	2712	2322	2002
2849041	22	92	12	172	42	12	62	2	22	142	52	112	72	112	32
3102546	152	882	92	232	762	322	362	92	162	852	222	642	612	442	762
2925428	12	2	2	2	22	12	22	12	12	2	82	22	2	12	2
2372272	4532	26312	1742	8802	5872	4772	9932	5372	5612	7192	6932	13652	16502	10932	16242
3360788	82	1842	102	82	702	492	292	312	672	1872	552	1472	1312	1002	1082
3443892	132	312	72	112	112	92	32	442	212	82	392	122	172	102	42
3298798	52	562	22	212	142	122	152	102	162	532	152	332	422	232	262
3019819	122	242	72	72	42	182	192	122	92	222	112	82	92	42	182
3173936	12	82	12	52	32	32	22	32	42	112	12	82	32	42	42
2424908	62	132	92	152	82	22	72	92	32	102	112	62	52	42	52
2950903	2	82	12	12	12	52	2	12	2	2	232	22	2	2	12
2857391	72	102	62	82	102	52	72	92	72	272	192	62	102	112	132
3742899	62	122	42	102	92	32	82	2	92	142	32	12	282	82	172
2571091	32	1072	52	62	462	212	162	62	132	862	222	632	412	242	632
3255478	22	592	42	32	2	2	52	62	72	72	102	142	242	102	122
3122387	102	542	102	132	162	122	302	72	142	302	142	482	342	292	472
3195817	2122	10362	942	3512	1462	2202	2412	3102	4212	9862	2562	8692	6872	5002	6322
2944655	12	2	2	42	12	52	42	22	12	2	2	2	2	12	32
2317746	2	2	2	2	52	2	2	2	2	2	2	2	132	32	52
2383539	222	852	102	242	132	102	182	32	312	222	452	532	412	212	392
2817630	2	52	22	2	2	12	2	2	12	22	32	2	2	22	12
3860875	2	202	22	22	32	12	42	42	52	132	62	132	102	62	112
2876363	62	252	22	32	142	912	152	92	22	142	2202	172	262	62	72
3239787	362	332	82	12	2552	122	142	172	4152	22	432	202	152	92	162
4021253	12	2	2	2	32	12	12	52	12	82	2	2	2	12	22
3700367	322	1032	252	122	732	312	802	472	432	812	472	692	792	672	492
4003189	2	42	2	2	32	2	12	2	12	42	2	12	32	2	2
3285169	32	242	32	62	42	2	42	82	62	112	62	62	52	102	42
3670031	532	2092	132	372	262	102	412	352	222	472	392	682	1072	652	802
3424576	42	12	22	22	32	2	22	2	2	22	2	32	42	12	32
3149532	932	1242	132	542	272	292	142	302	582	542	912	482	552	432	392
2836859	52	202	32	112	152	142	142	72	112	422	162	302	232	152	202
2744693	42	102	42	52	62	12	12	22	42	42	2	72	102	2	52
3257794	172	1562	62	202	62	302	202	102	322	432	242	632	582	202	292
