probe_id	x	y	probe_type	probeset_id	probeset_type	block	huex_cerebellum.CEL	huex_heart.CEL	huex_muscle.CEL
356	3	11	pm	2409674	Expression	0	543	131	233
405	20	12	pm	3888153	Expression	0	32	30	28
80	15	2	pm	3888153	Expression	0	58	31	45
1	0	0	pm	3888153	Expression	0	4084	1412	4309
886	21	27	pm	3888153	Expression	0	57	35	26
284	27	8	pm	3373107	Expression	0	75	41	44
772	3	24	pm	3373107	Expression	0	76	31	41
268	11	8	pm	3373107	Expression	0	29	34	38
262	5	8	pm	3373107	Expression	0	105	35	32
717	12	22	pm	2379846	Expression	0	41	40	36
130	1	4	pm	2379846	Expression	0	30	34	31
1001	8	31	pm	2379846	Expression	0	37	36	37
644	3	20	pm	2379846	Expression	0	119	57	57
360	7	11	pm	2506973	Expression	0	55	32	28
160	31	4	pm	2506973	Expression	0	2827	390	1252
336	15	10	pm	2506973	Expression	0	63	36	43
553	8	17	pm	2506973	Expression	0	51	35	35
891	26	27	pm	3198423	Expression	0	65	27	30
87	22	2	pm	3198423	Expression	0	166	42	79
36	3	1	pm	3198423	Expression	0	80	40	45
145	16	4	pm	3198423	Expression	0	49	31	36
520	7	16	pm	4056223	Expression	0	31	34	44
521	8	16	mm	4056223	Expression	0	502	59	161
346	25	10	pm	3525559	Expression	0	86	36	42
224	31	6	pm	3525559	Expression	0	1193	29	37
964	3	30	pm	3525559	Expression	0	69	52	66
49	16	1	pm	3525559	Expression	0	51	43	39
156	27	4	pm	3511823	Expression	0	188	64	80
743	6	23	pm	3511823	Expression	0	51	49	43
728	23	22	pm	3511823	Expression	0	223	101	149
227	2	7	pm	3511823	Expression	0	497	129	340
365	12	11	pm	3442337	Expression	0	253	42	48
406	21	12	pm	3442337	Expression	0	80	33	45
721	16	22	pm	3442337	Expression	0	96	57	102
972	11	30	pm	3442337	Expression	0	49	33	38
507	26	15	pm	3413163	Expression	0	45	288	5302
1009	16	31	pm	3413163	Expression	0	34	44	29
955	26	29	pm	3413163	Expression	0	48	29	45
596	19	18	pm	3413163	Expression	0	31	29	28
920	23	28	pm	3037838	Expression	0	58	28	30
301	12	9	pm	3037838	Expression	0	188	46	23
408	23	12	pm	3037838	Expression	0	84	41	64
789	20	24	pm	3037838	Expression	0	64	54	89
148	19	4	pm	2844443	Expression	0	193	59	69
629	20	19	pm	2844443	Expression	0	33	28	30
580	3	18	pm	2844443	Expression	0	35	36	26
179	18	5	pm	2844443	Expression	0	312	44	74
548	3	17	pm	2336170	Expression	0	29	30	34
509	28	15	pm	2336170	Expression	0	30	29	30
850	17	26	pm	2336170	Expression	0	41	31	28
147	18	4	pm	2336170	Expression	0	65	35	42
185	24	5	pm	2336170	Expression	0	102	36	56
81	16	2	pm	3301701	Expression	0	104	31	40
165	4	5	pm	3301701	Expression	0	391	66	204
475	26	14	pm	3301701	Expression	0	180	48	43
934	5	29	pm	3301701	Expression	0	33	36	32
219	26	6	pm	2413227	Expression	0	53	43	78
217	24	6	pm	3839239	Expression	0	74	33	28
304	15	9	pm	3839239	Expression	0	90	47	40
19	18	0	pm	3839239	Expression	0	42	31	32
281	24	8	pm	3839239	Expression	0	171	45	60
707	2	22	pm	3227647	Expression	0	293	96	144
814	13	25	pm	3227647	Expression	0	38	30	32
434	17	13	pm	3227647	Expression	0	38	36	30
358	5	11	pm	3227647	Expression	0	89	65	52
311	22	9	pm	3839369	Expression	0	243	63	152
133	4	4	pm	3839369	Expression	0	72	38	59
692	19	21	pm	3839369	Expression	0	53	50	44
773	4	24	pm	3839369	Expression	0	35	38	35
902	5	28	pm	3876257	Expression	0	85	32	35
915	18	28	pm	3876257	Expression	0	30	31	25
349	28	10	pm	3876257	Expression	0	80	39	42
600	23	18	pm	3876257	Expression	0	540	244	283
82	17	2	pm	3029170	Expression	0	93	43	50
90	25	2	pm	3029170	Expression	0	63	31	50
177	16	5	pm	3029170	Expression	0	41	33	31
195	2	6	pm	3029170	Expression	0	57	38	35
766	29	23	pm	3723703	Expression	0	35	33	34
333	12	10	pm	3723703	Expression	0	48	31	32
840	7	26	pm	3723703	Expression	0	116	40	56
191	30	5	pm	3723703	Expression	0	409	153	86
248	23	7	pm	2849826	Expression	0	269	58	56
798	29	24	pm	2849826	Expression	0	41	33	28
391	6	12	pm	2849826	Expression	0	27	45	30
757	20	23	pm	2849826	Expression	0	30	31	40
613	4	19	pm	3047225	Expression	0	28	30	26
3	2	0	pm	3047225	Expression	0	4141	1288	4072
109	12	3	pm	2534215	Expression	0	60	33	28
237	12	7	pm	2534215	Expression	0	60	35	40
503	22	15	pm	2534215	Expression	0	36	36	37
199	6	6	pm	2534215	Expression	0	3960	1268	4041
802	1	25	pm	2620456	Expression	0	59	33	30
285	28	8	pm	2620456	Expression	0	173	49	2504
776	7	24	pm	2620456	Expression	0	34	33	25
135	6	4	pm	2620456	Expression	0	3353	1056	1735
837	4	26	pm	2830090	Expression	0	101	44	35
201	8	6	pm	2830090	Expression	0	35	39	129
966	5	30	pm	2830090	Expression	0	44	1566	2666
713	8	22	pm	2830090	Expression	0	72	36	35
124	27	3	pm	2575215	Expression	0	33	32	30
229	4	7	pm	2575215	Expression	0	55	36	52
182	21	5	pm	2575215	Expression	0	95	53	50
470	21	14	pm	2575215	Expression	0	87	59	41
913	16	28	pm	2849041	Expression	0	730	211	226
567	22	17	pm	2849041	Expression	0	71	41	47
982	21	30	pm	2849041	Expression	0	29	28	29
351	30	10	pm	2849041	Expression	0	42	34	29
4	3	0	pm	3102546	Expression	0	74	48	65
277	20	8	pm	3102546	Expression	0	161	96	110
823	22	25	pm	3102546	Expression	0	112	37	53
575	30	17	pm	3102546	Expression	0	27	34	29
419	2	13	pm	2925428	Expression	0	44	30	41
326	5	10	pm	2925428	Expression	0	100	287	164
501	20	15	pm	2925428	Expression	0	102	34	32
755	18	23	pm	2925428	Expression	0	28	34	31
235	10	7	pm	2372272	Expression	0	101	61	136
88	23	2	pm	2372272	Expression	0	31	30	30
37	4	1	pm	2372272	Expression	0	40	35	31
530	17	16	pm	2372272	Expression	0	164	65	91
549	4	17	pm	2372272	Expression	0	97	41	66
305	16	9	pm	3360788	Expression	0	46	34	30
420	3	13	pm	3360788	Expression	0	38	38	43
327	6	10	pm	3360788	Expression	0	139	55	101
263	6	8	pm	3360788	Expression	0	244	38	54
128	31	3	pm	4056224	Expression	0	95	35	47
129	0	4	mm	4056224	Expression	0	268	69	72
578	1	18	pm	4056226	Expression	0	313	84	174
579	2	18	mm	4056226	Expression	0	288	94	88
497	16	15	mm	4136234	Expression	0	151	54	47
734	29	22	pm	4136242	Expression	0	87	32	40
735	30	22	mm	4136242	Expression	0	628	39	51
496	15	15	pm	3443892	Expression	0	49	34	36
914	17	28	pm	3443892	Expression	0	80	36	42
881	16	27	pm	3443892	Expression	0	29	34	25
708	3	22	pm	3443892	Expression	0	36	31	30
842	9	26	pm	4056225	Expression	0	31	31	29
236	11	7	pm	4056225	Expression	0	184	30	27
431	14	13	pm	4056225	Expression	0	83	56	110
767	30	23	pm	4056225	Expression	0	59	36	42
343	22	10	pm	4056225	Expression	0	151	41	67
340	19	10	pm	4056225	Expression	0	109	31	37
502	21	15	pm	4056225	Expression	0	755	135	170
93	28	2	pm	4056225	Expression	0	214	76	88
55	22	1	pm	4056225	Expression	0	115	39	74
965	4	30	pm	4056225	Expression	0	70	48	122
812	11	25	pm	4056225	Expression	0	102	58	82
566	21	17	pm	3298798	Expression	0	53	36	31
529	16	16	pm	3298798	Expression	0	31	34	31
287	30	8	pm	3298798	Expression	0	38	33	44
782	13	24	pm	3298798	Expression	0	244	93	125
173	12	5	pm	3019819	Expression	0	78	35	37
510	29	15	pm	3019819	Expression	0	28	33	27
718	13	22	pm	3019819	Expression	0	147	74	53
733	28	22	pm	3019819	Expression	0	93	42	33
661	20	20	pm	3400362	Expression	0	56	23	25
511	30	15	pm	3400362	Expression	0	50	31	35
929	0	29	pm	3400362	Expression	0	474	251	309
742	5	23	pm	3400362	Expression	0	89	50	49
228	3	7	pm	4056231	Expression	0	180	49	55
150	21	4	pm	4056231	Expression	0	47	33	27
999	6	31	pm	4056231	Expression	0	195	33	69
967	6	30	pm	4056231	Expression	0	74	38	43
1015	22	31	pm	4056231	Expression	0	91	29	32
240	15	7	pm	4056231	Expression	0	300	62	72
656	15	20	pm	4056231	Expression	0	27	35	29
220	27	6	pm	4056231	Expression	0	42	39	55
97	0	3	pm	4056231	Expression	0	47	33	31
299	10	9	pm	4056231	Expression	0	34	31	26
415	30	12	pm	4056231	Expression	0	32	48	39
230	5	7	pm	3132185	Expression	0	44	27	41
924	27	28	pm	3132185	Expression	0	28	31	26
2	1	0	pm	3132185	Expression	0	92	59	72
884	19	27	pm	3132185	Expression	0	185	72	147
250	25	7	pm	2590362	Expression	0	126	39	133
368	15	11	pm	2590362	Expression	0	31	25	30
582	5	18	pm	2590362	Expression	0	270	128	93
490	9	15	pm	2590362	Expression	0	55	36	33
779	10	24	pm	4056244	Expression	0	128	45	73
594	17	18	pm	4056244	Expression	0	76	50	54
269	12	8	pm	4056244	Expression	0	38	29	55
387	2	12	pm	2684343	Expression	0	434	106	187
691	18	21	pm	2684343	Expression	0	27	29	26
26	25	0	pm	2684343	Expression	0	255	54	120
303	14	9	pm	2684343	Expression	0	50	31	26
646	5	20	pm	3923891	Expression	0	214	74	100
619	10	19	pm	3923891	Expression	0	70	39	38
973	12	30	pm	3923891	Expression	0	41	34	29
694	21	21	pm	3923891	Expression	0	40	32	39
631	22	19	pm	4056423	Expression	0	29	31	28
917	20	28	pm	4056423	Expression	0	558	128	237
83	18	2	pm	4056423	Expression	0	37	30	30
617	8	19	pm	4056423	Expression	0	95	34	59
430	13	13	pm	4056423	Expression	0	100	63	51
323	2	10	pm	4056423	Expression	0	33	30	35
344	23	10	pm	4056423	Expression	0	109	42	45
754	17	23	pm	4056423	Expression	0	31	38	31
